epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.081,1.02232,1.52725,1.38367,0.58204,0.75909,0.69701,0.342,1.61895,1.89404,2.09965,0.000663477,0.000663477,0.000663477
2,194.636,1.01392,1.02961,1.35683,0.85974,0.80004,0.89865,0.54998,1.30292,1.48624,1.66182,0.00130381,0.00130381,0.00130381
3,285.267,1.01787,0.89925,1.34738,0.79051,0.82917,0.85564,0.50469,1.31338,1.15876,1.79718,0.00191774,0.00191774,0.00191774
4,369.993,0.9945,0.81599,1.3381,0.95213,0.91624,0.96611,0.64191,1.15465,0.75002,1.54729,0.0018812,0.0018812,0.0018812
5,457.609,0.92232,0.73078,1.29112,0.78453,0.90019,0.8575,0.55623,1.19788,0.90096,1.58822,0.0018416,0.0018416,0.0018416
6,543.89,0.90148,0.6967,1.27393,0.95991,0.91914,0.96513,0.68285,1.05586,0.64068,1.4254,0.001802,0.001802,0.001802
7,628.74,0.8962,0.68732,1.27149,0.94643,0.94953,0.97277,0.70034,0.95279,0.57338,1.28587,0.0017624,0.0017624,0.0017624
8,716.158,0.86803,0.65128,1.2476,0.93549,0.95777,0.97021,0.70861,1.00148,0.56826,1.36559,0.0017228,0.0017228,0.0017228
9,799.944,0.86851,0.63891,1.2432,0.90626,0.92784,0.95301,0.67449,1.01236,0.63807,1.38505,0.0016832,0.0016832,0.0016832
10,884.208,0.85597,0.61891,1.23719,0.93549,0.94628,0.96818,0.71096,0.9683,0.57481,1.32155,0.0016436,0.0016436,0.0016436
11,974.055,0.81091,0.58667,1.21372,0.9332,0.96533,0.95065,0.70346,0.95961,0.53347,1.31012,0.001604,0.001604,0.001604
12,1059.44,0.7926,0.58303,1.20453,0.95283,0.96353,0.96827,0.6893,0.99223,0.57015,1.35349,0.0015644,0.0015644,0.0015644
13,1143.99,0.79843,0.57907,1.21237,0.95617,0.96312,0.9773,0.75036,0.89622,0.52396,1.24517,0.0015248,0.0015248,0.0015248
14,1235.39,0.80246,0.5678,1.20836,0.9644,0.95969,0.97746,0.72595,0.92944,0.50563,1.30949,0.0014852,0.0014852,0.0014852
15,1319.8,0.80124,0.56549,1.19337,0.94166,0.96737,0.97534,0.73113,0.93777,0.52559,1.33216,0.0014456,0.0014456,0.0014456
16,1404.81,0.78616,0.55343,1.1957,0.96761,0.97121,0.98028,0.74365,0.94363,0.53977,1.28284,0.001406,0.001406,0.001406
17,1492.36,0.75522,0.53251,1.17431,0.93074,0.9544,0.95845,0.71521,0.89982,0.54841,1.26001,0.0013664,0.0013664,0.0013664
18,1580.48,0.77076,0.53127,1.17707,0.97463,0.95852,0.97928,0.74223,0.89363,0.50866,1.22775,0.0013268,0.0013268,0.0013268
19,1667.95,0.76559,0.52334,1.18011,0.96737,0.96747,0.98242,0.73432,0.87798,0.48518,1.23702,0.0012872,0.0012872,0.0012872
20,1757.32,0.75306,0.51105,1.16363,0.97732,0.97121,0.98185,0.75631,0.85188,0.43496,1.19631,0.0012476,0.0012476,0.0012476
21,1840.11,0.74489,0.50187,1.16382,0.96016,0.96737,0.97888,0.73749,0.89757,0.49312,1.24916,0.001208,0.001208,0.001208
22,1932.95,0.73654,0.49517,1.15214,0.97304,0.96996,0.98062,0.74253,0.90549,0.45511,1.25113,0.0011684,0.0011684,0.0011684
23,2018.36,0.73706,0.49148,1.14787,0.97271,0.96353,0.98161,0.75662,0.87277,0.47938,1.21568,0.0011288,0.0011288,0.0011288
24,2104.26,0.71383,0.48458,1.15243,0.96716,0.96098,0.98147,0.74676,0.89568,0.46163,1.21519,0.0010892,0.0010892,0.0010892
25,2190.29,0.73078,0.48421,1.15024,0.97685,0.97182,0.98242,0.7586,0.84837,0.4425,1.19666,0.0010496,0.0010496,0.0010496
26,2276.93,0.72015,0.47223,1.14461,0.97597,0.97313,0.98313,0.78132,0.79938,0.4375,1.16032,0.00101,0.00101,0.00101
27,2362.76,0.72385,0.47318,1.14878,0.97134,0.97568,0.98307,0.77491,0.81956,0.44581,1.18445,0.0009704,0.0009704,0.0009704
28,2451.2,0.71634,0.47127,1.14413,0.97107,0.97313,0.9835,0.78292,0.82222,0.43096,1.17945,0.0009308,0.0009308,0.0009308
29,2540.79,0.7065,0.46591,1.13888,0.97838,0.97505,0.98614,0.7747,0.84465,0.42223,1.15565,0.0008912,0.0008912,0.0008912
30,2627.77,0.69758,0.45574,1.12941,0.96278,0.97697,0.98523,0.77764,0.79177,0.42968,1.136,0.0008516,0.0008516,0.0008516
31,2712.94,0.68796,0.44683,1.12987,0.97874,0.97206,0.98448,0.77955,0.80372,0.42333,1.15113,0.000812,0.000812,0.000812
32,2799.31,0.69915,0.45167,1.13155,0.97411,0.97505,0.98397,0.78871,0.7875,0.41851,1.15516,0.0007724,0.0007724,0.0007724
33,2889.51,0.67399,0.44124,1.12456,0.96717,0.97889,0.98182,0.77395,0.81244,0.42592,1.16291,0.0007328,0.0007328,0.0007328
34,2974.19,0.67588,0.43721,1.11936,0.973,0.96835,0.98356,0.77422,0.81669,0.42982,1.16157,0.0006932,0.0006932,0.0006932
35,3060.86,0.67532,0.42433,1.11749,0.97508,0.97631,0.98392,0.79277,0.76601,0.41489,1.12368,0.0006536,0.0006536,0.0006536
36,3146.73,0.66144,0.42636,1.11682,0.97518,0.97313,0.98419,0.80452,0.77156,0.39748,1.13033,0.000614,0.000614,0.000614
37,3237.15,0.65856,0.42341,1.10648,0.97467,0.97313,0.98316,0.78967,0.78964,0.42134,1.13125,0.0005744,0.0005744,0.0005744
38,3325.22,0.65534,0.41963,1.10033,0.97176,0.97697,0.98447,0.79139,0.78144,0.42387,1.14721,0.0005348,0.0005348,0.0005348
39,3411.51,0.6516,0.41321,1.10036,0.98258,0.97452,0.98435,0.7945,0.78385,0.40829,1.14067,0.0004952,0.0004952,0.0004952
