                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0865,                 1.6335,                 1.3735,                0.39747,                0.31858,                0.32892,                0.13557,                 2.0158,                  2.549,                 2.3281,             0.00066304,             0.00066304,             0.00066304
                      2,                 1.0505,                 1.1066,                   1.32,                 0.7566,                0.71239,                0.77654,                0.44418,                  1.289,                 1.4068,                 1.6632,              0.0013034,              0.0013034,              0.0013034
                      3,                 1.0371,                0.94459,                 1.3124,                0.48181,                0.82301,                0.66954,                0.30315,                 1.7695,                 1.7007,                 2.2656,              0.0019173,              0.0019173,              0.0019173
                      4,                 1.0278,                0.86847,                 1.3084,                0.75464,                0.90502,                0.89527,                0.48121,                 1.3577,                 1.0973,                 1.5997,              0.0018812,              0.0018812,              0.0018812
                      5,                0.98471,                0.80783,                 1.2725,                0.59782,                0.74558,                0.75802,                0.46159,                 1.1344,                 1.3375,                 1.4205,              0.0018416,              0.0018416,              0.0018416
                      6,                0.95602,                0.77854,                 1.2565,                0.87944,                0.90929,                0.91133,                0.55346,                 1.1874,                0.86488,                 1.5076,               0.001802,               0.001802,               0.001802
                      7,                0.94544,                0.74658,                 1.2355,                0.86362,                0.74115,                0.86919,                 0.4917,                 1.2147,                 1.0686,                 1.5473,              0.0017624,              0.0017624,              0.0017624
                      8,                 0.8844,                0.68852,                 1.2212,                0.88576,                0.85772,                0.91561,                0.58645,                 1.0891,                0.92084,                 1.3312,              0.0017228,              0.0017228,              0.0017228
                      9,                0.89957,                0.68595,                 1.2145,                  0.875,                0.87168,                0.95396,                0.61857,                 1.1045,                0.72288,                 1.3287,              0.0016832,              0.0016832,              0.0016832
                     10,                 0.8965,                0.66133,                 1.2082,                0.92052,                0.89684,                 0.9499,                0.63357,                 1.0489,                0.77726,                 1.3091,              0.0016436,              0.0016436,              0.0016436
                     11,                0.85986,                0.64104,                 1.1917,                0.90605,                0.94027,                0.97351,                 0.6409,                 1.0465,                0.69287,                 1.3217,               0.001604,               0.001604,               0.001604
                     12,                0.86155,                0.63158,                 1.1881,                0.87749,                 0.9666,                0.96623,                0.68071,                0.94393,                0.65389,                 1.2352,              0.0015644,              0.0015644,              0.0015644
                     13,                0.85342,                0.61774,                 1.1857,                0.95089,                 0.9292,                0.98508,                0.66405,                 1.0463,                0.73191,                 1.3349,              0.0015248,              0.0015248,              0.0015248
                     14,                0.83134,                0.60277,                 1.1753,                0.96682,                  0.967,                0.98551,                0.71475,                0.96369,                0.55602,                 1.2131,              0.0014852,              0.0014852,              0.0014852
                     15,                0.82241,                0.59654,                 1.1633,                0.93381,                0.96239,                0.97456,                0.69703,                0.95128,                0.59649,                 1.2251,              0.0014456,              0.0014456,              0.0014456
