epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.1918,1.35174,1.47256,2.91113,0.93063,0.9192,0.95432,0.53237,1.43319,0.90041,3.14776,0.000663212,0.000663212,0.000663212
2,162.66,1.0873,0.84895,2.652,0.84361,0.86724,0.92239,0.56344,1.17348,0.94634,3.38404,0.00130355,0.00130355,0.00130355
3,238.649,1.05584,0.79431,2.60378,0.81443,0.93148,0.93667,0.6017,1.13708,0.92481,3.00742,0.00191748,0.00191748,0.00191748
4,314.452,1.00072,0.75023,2.57474,0.91191,0.98287,0.96679,0.64106,1.04168,0.67244,2.96118,0.0018812,0.0018812,0.0018812
5,392.562,0.95194,0.72306,2.50201,0.77255,0.87794,0.90874,0.66841,0.86512,0.945,2.80736,0.0018416,0.0018416,0.0018416
6,468.084,0.92567,0.69217,2.48724,0.8245,0.84506,0.91551,0.67353,0.87811,0.79171,2.74094,0.001802,0.001802,0.001802
7,544.685,0.90652,0.6597,2.46353,0.88325,0.97202,0.95957,0.69478,0.86974,0.72876,2.70917,0.0017624,0.0017624,0.0017624
8,620.428,0.89396,0.65005,2.42458,0.88216,0.92934,0.96612,0.71578,0.85433,0.71564,2.62117,0.0017228,0.0017228,0.0017228
9,700,0.86862,0.63225,2.40391,0.91456,0.95503,0.97488,0.72639,0.84597,0.65498,2.84493,0.0016832,0.0016832,0.0016832
10,776.447,0.86657,0.62903,2.38144,0.93731,0.96042,0.97758,0.75703,0.82082,0.65623,2.64698,0.0016436,0.0016436,0.0016436
11,854.617,0.83993,0.60082,2.37594,0.84865,0.92452,0.94722,0.70164,0.82993,0.76784,2.59749,0.001604,0.001604,0.001604
12,929.112,0.83487,0.59573,2.35941,0.94994,0.97523,0.9778,0.79447,0.71429,0.49156,2.59783,0.0015644,0.0015644,0.0015644
13,1005.19,0.83862,0.59236,2.34666,0.9441,0.97649,0.979,0.78498,0.7718,0.58467,2.61473,0.0015248,0.0015248,0.0015248
14,1079.54,0.84239,0.60231,2.35428,0.90216,0.94647,0.96872,0.77336,0.73427,0.62985,2.47983,0.0014852,0.0014852,0.0014852
15,1154.62,0.83771,0.57864,2.34121,0.88605,0.96568,0.96455,0.77492,0.70241,0.61417,2.49472,0.0014456,0.0014456,0.0014456
16,1228.63,0.80714,0.56366,2.29398,0.90774,0.92702,0.96416,0.75975,0.74825,0.71991,2.54146,0.001406,0.001406,0.001406
17,1306.65,0.8116,0.56312,2.32006,0.93608,0.9722,0.98086,0.79295,0.69246,0.5823,2.54225,0.0013664,0.0013664,0.0013664
18,1380.4,0.79266,0.55709,2.30235,0.9074,0.92719,0.96505,0.75872,0.76138,0.66912,2.50825,0.0013268,0.0013268,0.0013268
19,1455.03,0.78376,0.54533,2.29863,0.95573,0.97072,0.98551,0.77353,0.77821,0.54975,2.45577,0.0012872,0.0012872,0.0012872
20,1530.05,0.78173,0.5357,2.31205,0.93353,0.85653,0.95995,0.75351,0.76395,0.6774,2.52154,0.0012476,0.0012476,0.0012476
21,1603.36,0.77834,0.53394,2.2995,0.93348,0.9616,0.98194,0.80909,0.64806,0.53199,2.4813,0.001208,0.001208,0.001208
22,1681.49,0.77731,0.53594,2.27884,0.92023,0.94004,0.97786,0.75481,0.74372,0.62645,2.43728,0.0011684,0.0011684,0.0011684
23,1754.78,0.76403,0.52153,2.26629,0.96001,0.98501,0.98461,0.81079,0.67959,0.44318,2.38822,0.0011288,0.0011288,0.0011288
24,1827.57,0.74417,0.51127,2.25585,0.96264,0.98501,0.98678,0.82028,0.6745,0.44437,2.45002,0.0010892,0.0010892,0.0010892
25,1900.31,0.75954,0.51166,2.25803,0.95808,0.97645,0.98652,0.80415,0.72139,0.48075,2.46871,0.0010496,0.0010496,0.0010496
26,1976.48,0.7513,0.51391,2.26534,0.96827,0.98715,0.9894,0.80606,0.68161,0.45467,2.41843,0.00101,0.00101,0.00101
27,2050.81,0.75864,0.51633,2.25045,0.95793,0.97524,0.98824,0.82594,0.67397,0.45709,2.44225,0.0009704,0.0009704,0.0009704
28,2123.35,0.73321,0.51082,2.21629,0.96134,0.98287,0.9885,0.8173,0.66578,0.44727,2.39287,0.0009308,0.0009308,0.0009308
29,2195.53,0.7403,0.50325,2.22514,0.9712,0.98287,0.98679,0.77949,0.78994,0.4879,2.50735,0.0008912,0.0008912,0.0008912
30,2271.17,0.73191,0.49558,2.22425,0.93134,0.98287,0.9845,0.82295,0.65455,0.48744,2.4494,0.0008516,0.0008516,0.0008516
31,2342.1,0.72546,0.49075,2.24533,0.97431,0.97449,0.99057,0.83505,0.62558,0.41706,2.34759,0.000812,0.000812,0.000812
32,2413.38,0.71397,0.49037,2.19912,0.94677,0.95215,0.98325,0.81097,0.63549,0.51123,2.36493,0.0007724,0.0007724,0.0007724
33,2486.36,0.70547,0.47846,2.20485,0.95518,0.95823,0.98523,0.80305,0.68105,0.54065,2.37402,0.0007328,0.0007328,0.0007328
34,2557.48,0.70656,0.47723,2.19221,0.89434,0.9606,0.97436,0.79132,0.66288,0.58893,2.48113,0.0006932,0.0006932,0.0006932
35,2636.16,0.71046,0.48107,2.19925,0.96724,0.98501,0.98997,0.84059,0.59265,0.43268,2.33261,0.0006536,0.0006536,0.0006536
